Time, Voltage, Current, Resistance, Torque, Speed, Temperature, Vibration, Load, Component Failure
0.02, 1.999867, 0.2, 20, 99.98, 2, 0.09999999, 0.029998, 500, Works
0.04, 3.998933, 0.4, 20, 99.96, 4, 0.2, 0.059984, 500, Works
0.3733333, 36.47212, 3.733333, 20, 99.62666, 37.33333, 1.866667, 0.5470818, 500, Works
0.3995401, 38.89947, 3.995401, 20, 99.60046, 39.95401, 1.997701, 0.5834921, 500, Works
0.4056917, 39.46544, 4.056917, 20, 99.59431, 40.56917, 2.028459, 0.5919816, 500, Works
0.408044, 39.68147, 4.08044, 20, 99.59196, 40.8044, 2.04022, 0.595222, 500, Works
0.4108454, 39.93845, 4.108454, 20, 99.58916, 41.08454, 2.054227, 0.5990768, 500, Works
0.4135073, 40.18235, 4.135073, 20, 99.58649, 41.35073, 2.067537, 0.6027352, 500, Works
0.4162306, 40.43158, 4.162306, 20, 99.58377, 41.62306, 2.081153, 0.6064737, 500, Works
0.4194872, 40.72922, 4.194872, 20, 99.58051, 41.94872, 2.097436, 0.6109383, 500, Works
0.422731, 41.02526, 4.22731, 20, 99.57727, 42.2731, 2.113655, 0.6153789, 500, Works
0.4253622, 41.26507, 4.253622, 20, 99.57464, 42.53622, 2.126811, 0.6189761, 500, Works
0.4278951, 41.49566, 4.278951, 20, 99.57211, 42.78951, 2.139476, 0.6224349, 500, Works
0.431057, 41.78313, 4.31057, 20, 99.56894, 43.1057, 2.155285, 0.626747, 500, Works
0.4337453, 42.02722, 4.337453, 20, 99.56625, 43.37453, 2.168726, 0.6304083, 500, Works
0.4368977, 42.31306, 4.368977, 20, 99.5631, 43.68977, 2.184489, 0.6346959, 500, Works
0.4390715, 42.50992, 4.390715, 20, 99.56093, 43.90715, 2.195358, 0.6376488, 500, Works
0.4415892, 42.73768, 4.415892, 20, 99.55841, 44.15892, 2.207946, 0.6410652, 500, Works
0.4442112, 42.97458, 4.442112, 20, 99.55579, 44.42112, 2.221056, 0.6446187, 500, Works
0.446772, 43.20566, 4.46772, 20, 99.55323, 44.6772, 2.23386, 0.6480849, 500, Works
0.4493473, 43.43777, 4.493473, 20, 99.55065, 44.93473, 2.246737, 0.6515666, 500, Works
0.4520867, 43.68436, 4.520867, 20, 99.54791, 45.20867, 2.260434, 0.6552653, 500, Works
0.4550516, 43.95087, 4.550516, 20, 99.54494, 45.50516, 2.275258, 0.659263, 500, Works
0.4576651, 44.18547, 4.576652, 20, 99.54234, 45.76651, 2.288326, 0.6627821, 500, Works
0.4608224, 44.46849, 4.608224, 20, 99.53918, 46.08224, 2.304112, 0.6670274, 500, Works
0.4637776, 44.73299, 4.637776, 20, 99.53622, 46.37776, 2.318888, 0.6709948, 500, Works
0.4667734, 45.00072, 4.667734, 20, 99.53323, 46.67734, 2.333867, 0.6750109, 500, Works
0.4697669, 45.26785, 4.697669, 20, 99.53024, 46.97669, 2.348835, 0.6790177, 500, Works
0.472511, 45.51236, 4.72511, 20, 99.52749, 47.2511, 2.362555, 0.6826854, 500, Works
0.4754772, 45.77628, 4.754772, 20, 99.52452, 47.54772, 2.377386, 0.6866442, 500, Works
0.4780509, 46.00495, 4.780509, 20, 99.52195, 47.80509, 2.390254, 0.6900742, 500, Works
0.4811133, 46.27664, 4.811133, 20, 99.51889, 48.11133, 2.405567, 0.6941496, 500, Works
0.4842907, 46.55807, 4.842907, 20, 99.51571, 48.42907, 2.421453, 0.6983712, 500, Works
0.4879726, 46.88361, 4.879726, 20, 99.51202, 48.79726, 2.439863, 0.7032542, 500, Works
0.4912181, 47.17003, 4.912181, 20, 99.50878, 49.12181, 2.456091, 0.7075505, 500, Works
0.4939198, 47.40808, 4.939198, 20, 99.50608, 49.39198, 2.469599, 0.7111213, 500, Works
0.4965719, 47.64143, 4.965719, 20, 99.50343, 49.65719, 2.48286, 0.7146215, 500, Works
0.4992029, 47.87259, 4.992029, 20, 99.50079, 49.92029, 2.496015, 0.7180889, 500, Works
0.501918, 48.11079, 5.01918, 20, 99.49809, 50.1918, 2.50959, 0.7216618, 500, Works
0.5053222, 48.40894, 5.053222, 20, 99.49467, 50.53222, 2.526611, 0.7261341, 500, Works
0.507873, 48.63198, 5.07873, 20, 99.49213, 50.7873, 2.539365, 0.7294797, 500, Works
0.5111574, 48.9187, 5.111574, 20, 99.48885, 51.11574, 2.555787, 0.7337806, 500, Works
0.5139969, 49.16616, 5.139969, 20, 99.486, 51.39969, 2.569984, 0.7374924, 500, Works
0.5169003, 49.41878, 5.169003, 20, 99.4831, 51.69003, 2.584502, 0.7412816, 500, Works
0.5200548, 49.69277, 5.200548, 20, 99.47994, 52.00548, 2.600274, 0.7453915, 500, Works
