Time, Voltage, Current, Resistance, Torque, Speed, Temperature, Vibration, Load, Bearing Health, Insulation Health, Component Failure
0.02, 1.999867, 0.2, 20, 99.98, 2, 25.02, 1.019997, 501, 0.999998, 1, Works
0.04, 3.998933, 0.4, 20, 99.96, 4, 25.04, 1.039985, 501.9999, 0.9999959, 1, Works
0.3733333, 36.47212, 3.733333, 20, 99.62666, 37.33333, 25.37325, 1.364684, 518.5585, 0.9999626, 1, Works
0.3910922, 38.11984, 3.910923, 20, 99.60891, 39.10922, 25.39099, 1.381159, 519.4302, 0.9999608, 1, Works
0.3974555, 38.70734, 3.974555, 20, 99.60255, 39.74554, 25.39735, 1.387034, 519.7422, 0.9999602, 1, Works
0.4003785, 38.97669, 4.003785, 20, 99.59962, 40.03785, 25.40027, 1.389727, 519.8855, 0.9999599, 1, Works
0.404042, 39.3138, 4.04042, 20, 99.59595, 40.4042, 25.40393, 1.393098, 520.0649, 0.9999595, 1, Works
0.4072625, 39.60972, 4.072625, 20, 99.59274, 40.72625, 25.40715, 1.396056, 520.2227, 0.9999592, 1, Works
0.4107107, 39.9261, 4.107107, 20, 99.58929, 41.07107, 25.41059, 1.39922, 520.3915, 0.9999589, 1, Works
0.4133356, 40.16662, 4.133356, 20, 99.58666, 41.33356, 25.41322, 1.401625, 520.52, 0.9999586, 1, Works
0.4158656, 40.39819, 4.158656, 20, 99.58414, 41.58656, 25.41575, 1.40394, 520.6437, 0.9999584, 1, Works
0.4179965, 40.59302, 4.179965, 20, 99.582, 41.79965, 25.41788, 1.405888, 520.748, 0.9999582, 1, Works
0.4203268, 40.80588, 4.203268, 20, 99.57967, 42.03268, 25.4202, 1.408017, 520.862, 0.9999579, 1, Works
0.4227087, 41.02322, 4.227087, 20, 99.57729, 42.27087, 25.42258, 1.41019, 520.9785, 0.9999577, 1, Works
0.4250613, 41.23766, 4.250613, 20, 99.57494, 42.50613, 25.42493, 1.412334, 521.0934, 0.9999574, 1, Works
0.4273537, 41.44639, 4.273537, 20, 99.57265, 42.73537, 25.42722, 1.414421, 521.2054, 0.9999572, 1, Works
0.4299479, 41.68235, 4.299479, 20, 99.57005, 42.99479, 25.42982, 1.41678, 521.3322, 0.999957, 1, Works
